date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:44	445/445	---M--	200	added ('OK')	text/plain	date:Fri,%2031%20Jan%202020%2004:02:44%20GMT	https://nguyenkhanhthien99.wixsite.com/robots.txt		(from )
11:02:45	819711/819711	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2004:02:44%20GMT	https://nguyenkhanhthien99.wixsite.com/caesar-m	C:/My%20Web%20Sites/CaesarM/nguyenkhanhthien99.wixsite.com/caesar-m.html	(from )
11:02:45	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Jan%202020%2004:02:45%20GMT	https://nguyenkhanhthien99.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/CaesarM/nguyenkhanhthien99.wixsite.com/sitemap.xml	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:45	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Jan%202020%2004:02:45%20GMT	https://nguyenkhanhthien99.wixsite.com/feed.xml	C:/My%20Web%20Sites/CaesarM/nguyenkhanhthien99.wixsite.com/feed.xml	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:46	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/My%20Web%20Sites/CaesarM/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:46	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/CaesarM/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:47	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/My%20Web%20Sites/CaesarM/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:47	94311/94311	---M-Z	200	added ('OK')	application/javascript	etag:W/%22325be2ed2eada7997bb6ef4e6633df5a%22	https://static.parastorage.com/services/wix-bolt/1.4878.0/bolt-main/app/bolt-custom-elements.min.js	C:/My%20Web%20Sites/CaesarM/static.parastorage.com/services/wix-bolt/1.4878.0/bolt-main/app/bolt-custom-elements.min.js	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:48	17493/17493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/My%20Web%20Sites/CaesarM/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:49	624684/624684	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224a771228bb8acc877b54004ff8a0b1f%22	https://nguyenkhanhthien99.wixsite.com/_partials/wix-bolt/1.4878.0/node_modules/viewer-platform-worker/dist/bolt-worker.js	C:/My%20Web%20Sites/CaesarM/nguyenkhanhthien99.wixsite.com/_partials/wix-bolt/1.4878.0/node_modules/viewer-platform-worker/dist/bolt-worker.js	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:49	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/My%20Web%20Sites/CaesarM/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:49	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/My%20Web%20Sites/CaesarM/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:50	3603/3603	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202020%2002:22:14%20GMT	https://static.wixstatic.com/media/b7f8d5_63d90ce56a7a4a41bcfc472c948e61ad~mv2.jpg/v1/fill/w_245,h_163,al_c,q_80,usm_0.66_1.00_0.01,blur_2/b7f8d5_63d90ce56a7a4a41bcfc472c948e61ad~mv2.jpg	C:/My%20Web%20Sites/CaesarM/static.wixstatic.com/media/b7f8d5_63d90ce56a7a4a41bcfc472c948e61ad_mv2.jpg/v1/fill/w_245,h_163,al_c,q_80,usm_0.66_1.00_0.01,blur_2/b7f8d5_63d90ce56a7a4a41bcfc472c948e61ad_mv2.jpg	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
11:02:50	27342/27342	---M--	200	added ('OK')	image/png	etag:%220253ac8ebf495d8ebf5cadd93f6d18e0%22	https://static.wixstatic.com/media/b7f8d5_829cfe4075b846e0af956dbd6d598b3e~mv2.png/v1/fill/w_152,h_152,al_c,usm_0.66_1.00_0.01,blur_3/preload.png	C:/My%20Web%20Sites/CaesarM/static.wixstatic.com/media/b7f8d5_829cfe4075b846e0af956dbd6d598b3e_mv2.png/v1/fill/w_152,h_152,al_c,usm_0.66_1.00_0.01,blur_3/preload.png	(from https://nguyenkhanhthien99.wixsite.com/caesar-m)
